"sentence","event_type"
"The others who were left in the keep—men, women and children—were killed.","None"
"Aware that resistance would be futile and with his crews in open revolt, Lucas surrendered unconditionally.","Attack"
"Photographs posted on the website showed Roof posing with emblems associated with white supremacy and with photos of the Confederate battle flag.","None"
"Among the non-military targets struck during the bombing were the National Library of Serbia, which burned to the ground with the loss of hundreds of thousands of books and manuscripts, and the Belgrade Zoo.","Attack"
"The first attack, which was on the prime minister's office, killed 12 people and injured 118, and the second attack on the police station in the Bab Ezzouar district of Algiers killed 11 and injured 44.","Injury"
"Many streets and several hundred acres of sugar cane fields were flooded.","Disaster"
"Hurricane Cindy was the first hurricane to form in the Gulf of Mexico since 1960.","Disaster"
"Many news outlets also hinted that the crash may have been the result of sabotage by the rival party in Zimbabwe, Movement for Democratic Change, a stance treated with severe doubt in foreign press articles.","None"
"On 1 June 2018, a special National Investigation Agency (NIA) court of Patna sentenced life imprisonment for 5 prime accused in this case.","Investigation"
"It occurred due to the extratropical remnants of an Atlantic hurricane.","Disaster"
"Damage was estimated at $45 million (1992 USD).","Disaster"
"Also, peasant discontent was contributed by the growing domination by the Chinese and other landowners, including Government officials.","None"
"The Russian casualties were low, about 25 cavalrymen and nine Cossack troops killed in action.","Disaster"
"The narrative was embellished and used by various parties to attack each other—by the Palestinians against Israel; by the Haganah to play down their own role in the affair; and by the Israeli left to accuse the Irgun and Lehi of blackening Israel's name by violating the Jewish principle of purity of arms.","Attack"
"The Monbar Hotel attack was carried out by the GAL, a state-sponsored death squad, on 25 September 1985 in Bayonne, France.","Attack"
"Some roads were under a meter (three feet) of water on 26 November, and many of the victims were believed to have drowned in their cars.","Injury"
"The occupation occurred during the Battle of Vukovar, as the JNA sought to consolidate its control over the area surrounding the city of Vukovar.","None"
"The Bus 300 affair (), also known as Kav 300 affair, was a 1984 incident in which Shin Bet members executed two Palestinian bus hijackers, immediately after the hostage crisis incident ended and they had been captured.","Investigation"
"Many Iraqi forces, however, successfully escaped across the Euphrates river, and the U.S. Defense Intelligence Agency estimated that upwards of 70,000 to 80,000 troops from defeated divisions in Kuwait might have fled into Basra, evading capture.","None"
"The Halle train collision (also known as the Buizingen train collision) was a collision between two NMBS/SNCB Passenger Trains carrying a combined 250–300 people in Buizingen, in the municipality of Halle, Flemish Brabant, Belgium, on 15 February 2010.","Disaster"
"In December 2015, the Indonesian National Transportation Safety Committee (KNKT or NTSC) released a report concluding that a non-critical malfunction in the rudder control system prompted the captain to perform a non-standard reset of the on-board flight control computers.","Protest"
"The people killed included Mangudadatu's wife, his two sisters, journalists, lawyers, aides, and motorists who were witnesses or were mistakenly identified as part of the convoy.","Investigation"
"On 8 March 2015, Russian authorities charged Anzor Gubashev and Zaur Dadaev, both originating from the Northern Caucasus, with involvement in the crime.","Investigation"
"Gunfire was the leading cause of death, though some of the victims were killed with axes or chainsaws, or were burned to death.","Injury"
"The Indian Ocean raid (known in Japan as Operation C) was a naval sortie carried out by the Imperial Japanese Navy (IJN) from 31 March to 10 April 1942.","Attack"
"The division was also assigned the task of assaulting and destroying the Merville Gun Battery, an artillery battery that Allied intelligence believed housed a number of heavy artillery pieces, which could bombard the nearest invasion beach (codenamed Sword) and possibly inflict heavy casualties on the Allied troops landing on it.","None"
"On several occasions, Israel was suspected of perpetrating or supporting attacks on Hezbollah and Iranian targets within Syrian territories or Lebanon.","Investigation"
"On the afternoon of 22 May 2013, a British Army soldier, Fusilier Lee Rigby of the Royal Regiment of Fusiliers, was attacked and killed by Michael Adebolajo and Michael Adebowale near the Royal Artillery Barracks in Woolwich, southeast London.","Attack"
"The first half of this phase of the war was dominated by the Kingdom of England.","Attack"
"By then the rearguard had successfully withdrawn along with the withdrawing Ottoman columns.","None"
"The Menu bombings were an escalation of what had previously been tactical air attacks.","Attack"
"The causes of the other fires are still under investigation by multiple agencies, and a joint task force was formed to coordinate the investigations and facilitate communications.","Investigation"
"Evidence presented at the trial included Watson's differing accounts of what had happened on that day, of the couple's diving experience (or lack thereof), and of Tina's life insurance.","Investigation"
"After a confused fight lasting two hours, Parliamentarian cavalry under Oliver Cromwell routed the Royalist cavalry from the field and, with Leven's infantry, annihilated the remaining Royalist infantry.","Attack"
"The Battle of Chickamauga, fought on September 18 – 20, 1863, between U.S. and Confederate forces in the American Civil War, marked the end of a Union offensive in southeastern Tennessee and northwestern Georgia — the Chickamauga Campaign.","Attack"
"Over 20,000 people were killed in the war, and refugees were displaced on both sides.","Attack"
"The government responded to attacks by carrying out a campaign of ethnic cleansing against Darfur's non-Arabs.","Attack"
"Obregón and Villa met twice more in the Bajío at León (also called the battle of Trindad), in a protracted battle lasting 38 days, and at Aguascalientes in July, sealing the Constitutionalists' victory over Villa.","Attack"
"An escort of 24 squadrons of Spitfires equipped with drop tanks was provided on the first and last leg of the mission.","None"
"A strike group consisting of one missile boat and two frigates attacked the group of ships off the coast of Karachi.","Attack"
"AWB delivered 90% of the Iraqi wheat market, before its practices were questioned in 2005.","Investigation"
"The 1910 Cuba hurricane, popularly known as the Cyclone of the Five Days, was an unusual and destructive tropical cyclone that struck Cuba and the United States in October 1910.","Disaster"
"The ""Chesapeake"" was captured in a brief but intense action in which over 80 men were killed.","Injury"
"The attack occurred on the eve of the 2008 Pakistani general election to be held on 18 February when an explosives-laden car was rammed into the election office of an independent candidate in Parachinar.","Attack"
"The incident occurred less than three months after the United States entered World War II in response to the Imperial Japanese Navy's surprise attack on Pearl Harbor, and one day after the bombardment of Ellwood on February 23.","None"
"Even before the Maguindanao massacre, the CPJ had labeled the Philippines the second most dangerous country for journalists, second only to Iraq.","Injury"
"At around 4:00 a.m. on September 12, the group launched a mortar attack against a CIA annex approximately away, killing CIA contractors Tyrone S. Woods and Glen Doherty and wounding ten others.","Attack"
"Moctezuma was killed, although the sources do not agree on who murdered him.","Injury"
"Following the first large-scale protests in early August, the government announced that a series of measures would be taken to solve the housing shortage, some of which were already under preparation and ratification, and some which were new measures proposed in response to the demands of the protest movement leadership.","Protest"
"This was the brain child of the late Frans du Toit, a retired teacher from JG Meiring High School in Goodwood and a part time sports journalist.","None"
"However, French efforts ended in failure when the Anglo-Prussian coalition prevailed, and Britain's rise as among the world's predominant powers destroyed France's supremacy in Europe, thus altering the European balance of power.","Disaster"
"All four crew members on the plane survived, but all 10 people aboard the minibus were killed, along with a cyclist and a cab passenger.","Injury"
"Efforts to verify the report of the battle from the Annales Fuldenses, specifically the huge loss of life on the Viking side, have been hindered by the lack of archaeological excavations in Belgium.","Attack"
"The Empire soon crushed the perceived Protestant rebellion in the Battle of White Mountain, executing leading Bohemian aristocrats shortly after.","Disaster"
"The Battle of San Juan (1595) was a Spanish victory during the Anglo–Spanish War.","Attack"
"Overall, there were 49 fatalities in Bangladesh.","Injury"
"In February 2009, the 2009 leg of the tour was announced with Poison and Cheap Trick as the opening acts.","None"
"The Day We Fight Back was a one-day global protest against mass surveillance by the US National Security Agency (NSA), the UK GCHQ, and the other Five Eyes partners involved in global surveillance.","Protest"
"The Battle of Chunuk Bair () was a World War I battle fought between the Ottoman defenders and troops of the British Empire over control of the peak in August 1915.","Attack"
"The Darbar Festival is the flagship event of the Darbar Arts Culture Heritage Trust, a UK registered non-profit.","None"
"The tournament had been put into jeopardy after the Springboks team confirmed they were sending a below strength side for the Australasian leg of the tournament.","Investigation"
"Tracking westward, the depression gradually intensified and became Tropical Storm Faith on the following day.","Disaster"
"Headed by Frank Costigan QC, the Commission was established by the Australian government on 10 September 1980 to investigate criminal activities, including violence, associated with the Painters and Dockers Union.","Investigation"
"Breivik, dressed in a homemade police uniform and showing false identification, took a ferry to the island and opened fire at the participants, killing 69 and injuring at least 110, 55 seriously.","Injury"
"The pilot, Captain Richard J. Ashby, and his navigator, Captain Joseph Schweitzer, were put on trial in the U.S. and found not guilty of involuntary manslaughter and negligent homicide.","Injury"
"After the war ended, the Eritrea–Ethiopia Boundary Commission, a body founded by the UN, established that Badme, the disputed territory at the heart of the conflict, belongs to Eritrea.","Attack"
"A car bomb killed at least 5 people and 13 others were wounded in Madain.","Injury"
"Shortly afterwards, a mixed train consisting of a locomotive and ten cars came down the tracks, falling down the embankment and landing on the road below.","None"
"Russia's official position on the presence of Russian forces in Donbass has been vague: while official bodies have denied presence of ""regular armed forces"" in Ukraine, it has on numerous occasions confirmed presence of ""military specialists"", along with other euphemisms, usually accompanied by an argument that Russia ""was forced"" to deploy them to ""defend the Russian-speaking population"".","Investigation"
"There were 450 diners, hotel staff and guests inside the building.","None"
"It spent more time as a Category 5 than all but two other Atlantic hurricanes.","Disaster"
"After capturing the Siegfried Line, the 9th Armored Division of the U.S. First Army had advanced unexpectedly quickly towards the Rhine.","None"
"Initially, just ten dates in bigger arenas were announced in November 2008.","None"
"According to police reports, three people were killed in the accident while four people were injured.","Injury"
"The Sirte, Tmed Hassan and Buerat strongholds were reinforced from Italy, which brought the 10th and 5th armies up to about German reinforcements were sent to Libya to form a blocking detachment () under Directive 22 (11 January), these being the first units of the ""Afrika Korps"" (""Generalleutnant"" Erwin Rommel).","None"
"These early fracturing tests were later superseded by hydraulic fracturing technologies.","None"
"After this vote, Britain instigated a worldwide boycott of Iranian oil to pressure Iran economically.","None"
"Early reports indicated that the heaviest damage was sustained by the eastern provinces of the Democratic Republic of the Congo (DRC), a region already ravaged by extensive war and extreme poverty.","Disaster"
"It included the United Kingdom's coldest December since Met Office records began in 1910, with a mean temperature of -1 °C, breaking the previous record of 0.1 °C in December 1981.","Disaster"
"A lasting political and military standoff between the two sides of the Taiwan Strait ensued, with the ROC in Taiwan and the PRC in mainland China both officially claiming to be the legitimate government of all China.","Attack"
"In addition to the flight of refugees, the end of the war and the institution of new rules by the communists contributed to a decline in the city's population.","Attack"
"The occupation ended in September with the Battle of Megiddo which consisted of the Battle of Sharon and the Battle of Nablus.","Attack"
"In late November 1707, a second expedition arrived, and made unsuccessful attacks on three consecutive nights before withdrawing.","None"
"She was located 20 minutes later by a Royal Navy search and rescue helicopter and airlifted to Derriford Hospital in Plymouth, where she died in the early hours of the next morning.","Injury"
"It was confirmed on the official Oxegen website in April 2013 that the festival would return to the Irish festival line-up this summer, after a one-year hiatus in 2012.","Investigation"
"The Roadshow was also presented by sponsors The Coca-Cola Company and Travelers Group,","None"
"The ensuing massacre, that lasted six days, was methodical and thorough, in which nearly all Muslims and Jews were killed, though most of the women and children were sold into slavery.","Injury"
"Developing the plot of the Dominion War also altered how the series was scripted, shifting the emphasis from an episodic to a serialized narrative format.","None"
"Residents of Sendai had only eight to ten minutes warning, and more than 19,000 were killed, many at the more than a hundred evacuation sites that washed away.","Injury"
"The International Criminal Tribunal for the former Yugoslavia (ICTY) and the Serbian War Crimes Prosecutor's Office were able to verify between 48 and 78 deaths.","Injury"
"The Ombudsman did not investigate the role of informers and the report was branded a whitewash.","Investigation"
"The Italian leader, Benito Mussolini, was toppled from power in Italy and the way was opened for the Allied invasion of Italy.","Attack"
"Between September 2 and September 17, the Breeders performed in eleven cities, including St. Louis, Denver, Seattle, Portland, San Francisco, and Las Vegas.","None"
"Runner-up Emmanuel Mutai also surpassed Kipsang's old mark, finishing in 2:03:13.","Disaster"
"The Russians lost 128 killed, 648 wounded and 51 captured according to their own estimates.","Injury"
